Program	fastqFile	Computer	readsInFastq	extractionSize	readsExtracted	Replicate	Threads	ElapsedTime	CPUKernTime	CPUserTime	MaxResidentMemoryInKb	PercentCPU
seqkit	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	9.00	1.00	40.19	12.63	23.44	1410528.00	89%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	9.00	2.00	35.96	12.44	22.28	1255192.00	96%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	9.00	3.00	34.71	12.33	22.80	1209900.00	101%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	9.00	1.00	33.94	10.39	17.02	792196.00	80%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	9.00	1.00	34.25	10.31	17.31	792140.00	80%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	10.00	1.00	40.61	12.52	23.56	1368252.00	88%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	10.00	2.00	34.34	12.34	21.60	1227220.00	98%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	10.00	3.00	35.90	12.34	23.21	1195756.00	99%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	10.00	1.00	33.94	10.27	17.33	792132.00	81%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031394.00	6031394.00	10.00	1.00	34.22	10.51	17.09	792068.00	80%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	1.00	1.00	4.34	0.41	3.94	23228.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	1.00	2.00	4.09	0.44	4.13	27280.00	111%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	1.00	3.00	4.17	0.50	4.31	26908.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	1.00	1.00	2.64	0.23	2.40	2508.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	1.00	1.00	2.90	0.18	2.72	2484.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	2.00	1.00	4.34	0.35	3.99	25048.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	2.00	2.00	4.08	0.38	4.17	25332.00	111%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	2.00	3.00	4.07	0.45	4.26	25204.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	2.00	1.00	2.63	0.22	2.41	2512.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	2.00	1.00	2.90	0.13	2.77	2508.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	3.00	1.00	4.34	0.31	4.04	26380.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	3.00	2.00	4.12	0.38	4.23	23812.00	112%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	3.00	3.00	4.05	0.41	4.27	25348.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	3.00	1.00	2.63	0.22	2.41	2484.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	3.00	1.00	2.91	0.24	2.66	2456.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	4.00	1.00	4.30	0.42	3.88	24972.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	4.00	2.00	4.06	0.40	4.13	26256.00	111%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	4.00	3.00	4.09	0.40	4.33	24484.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	4.00	1.00	2.63	0.20	2.42	2508.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	4.00	1.00	2.91	0.22	2.69	2572.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	5.00	1.00	4.35	0.33	4.03	24896.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	5.00	2.00	4.06	0.38	4.14	26488.00	111%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	5.00	3.00	4.08	0.47	4.25	29636.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	5.00	1.00	2.63	0.19	2.44	2512.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	5.00	1.00	2.91	0.19	2.71	2508.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	6.00	1.00	4.34	0.39	3.95	25872.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	6.00	2.00	4.13	0.41	4.23	26124.00	112%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	6.00	3.00	4.17	0.41	4.41	22780.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	6.00	1.00	2.63	0.21	2.41	2488.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	6.00	1.00	2.91	0.18	2.72	2508.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	7.00	1.00	4.34	0.40	3.94	25072.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	7.00	2.00	4.18	0.39	4.32	26308.00	112%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	7.00	3.00	4.11	0.41	4.34	24844.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	7.00	1.00	2.63	0.21	2.41	2488.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	7.00	1.00	2.91	0.26	2.64	2508.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	8.00	1.00	4.33	0.30	4.04	26828.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	8.00	2.00	4.14	0.31	4.34	25360.00	112%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	8.00	3.00	4.03	0.45	4.21	26268.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	8.00	1.00	2.63	0.23	2.39	2508.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	8.00	1.00	2.90	0.25	2.65	2520.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	9.00	1.00	4.32	0.34	3.99	24548.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	9.00	2.00	4.05	0.46	4.04	25272.00	111%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	9.00	3.00	4.15	0.40	4.42	26836.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	9.00	1.00	2.63	0.18	2.45	2476.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	9.00	1.00	2.91	0.21	2.69	2504.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	10.00	1.00	4.34	0.40	3.94	25156.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	10.00	2.00	4.17	0.37	4.31	24388.00	112%
seqkit	dataset_C.fastq	fastIO	9186045.00	9186.00	6124.00	10.00	3.00	4.30	0.52	4.45	26356.00	115%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	10.00	1.00	2.63	0.22	2.40	2484.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	9186.00	9186.00	10.00	1.00	2.90	0.22	2.68	2572.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	1.00	1.00	5.34	0.38	4.98	47592.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	1.00	2.00	4.51	0.43	4.75	43916.00	114%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	1.00	3.00	4.50	0.48	4.75	43500.00	116%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	1.00	1.00	3.06	0.19	2.87	13372.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	1.00	1.00	3.45	0.25	3.19	13368.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	2.00	1.00	5.24	0.40	4.85	46412.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	2.00	2.00	4.51	0.37	4.78	41640.00	114%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	2.00	3.00	4.62	0.42	5.08	43924.00	119%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	2.00	1.00	3.06	0.19	2.87	13336.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	2.00	1.00	3.43	0.31	3.12	13432.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	3.00	1.00	5.27	0.37	4.91	47316.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	3.00	2.00	4.60	0.44	4.88	41720.00	115%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	3.00	3.00	4.49	0.45	4.79	43720.00	116%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	3.00	1.00	3.05	0.34	2.71	13368.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	3.00	1.00	3.44	0.24	3.19	13304.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	4.00	1.00	5.25	0.41	4.85	46284.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	4.00	2.00	4.65	0.45	4.95	41680.00	116%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	4.00	3.00	4.47	0.35	4.87	42900.00	116%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	4.00	1.00	3.05	0.25	2.80	13300.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	4.00	1.00	3.45	0.21	3.23	13288.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	5.00	1.00	5.27	0.41	4.87	47112.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	5.00	2.00	4.71	0.46	5.07	41200.00	117%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	5.00	3.00	4.51	0.35	4.90	43512.00	116%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	5.00	1.00	3.06	0.23	2.83	13372.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	5.00	1.00	3.44	0.26	3.18	13304.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	6.00	1.00	5.25	0.33	4.93	46560.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	6.00	2.00	4.52	0.34	4.83	43592.00	114%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	6.00	3.00	4.49	0.38	4.90	43744.00	117%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	6.00	1.00	3.06	0.28	2.78	13368.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	6.00	1.00	3.44	0.27	3.16	13432.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	7.00	1.00	5.25	0.36	4.89	46428.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	7.00	2.00	4.66	0.39	5.05	40024.00	116%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	7.00	3.00	4.48	0.49	4.78	42744.00	117%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	7.00	1.00	3.07	0.25	2.81	13368.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	7.00	1.00	3.44	0.25	3.19	13336.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	8.00	1.00	5.27	0.42	4.85	47932.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	8.00	2.00	4.45	0.41	4.69	41544.00	114%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	8.00	3.00	4.66	0.42	5.14	43808.00	119%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	8.00	1.00	3.07	0.26	2.80	13300.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	8.00	1.00	3.44	0.25	3.18	13368.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	9.00	1.00	5.25	0.42	4.84	47616.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	9.00	2.00	4.53	0.47	4.68	41208.00	113%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	9.00	3.00	4.50	0.39	4.85	44916.00	116%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	9.00	1.00	3.06	0.22	2.84	13344.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	9.00	1.00	3.44	0.26	3.18	13336.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	10.00	1.00	5.27	0.44	4.84	45192.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	10.00	2.00	4.51	0.39	4.76	42700.00	114%
seqkit	dataset_C.fastq	fastIO	9186045.00	91860.00	61240.00	10.00	3.00	4.65	0.45	5.09	43512.00	119%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	10.00	1.00	3.06	0.26	2.79	13368.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	91860.00	91860.00	10.00	1.00	3.44	0.23	3.20	13332.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	1.00	1.00	7.35	0.58	6.78	375848.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	1.00	2.00	6.30	0.57	6.92	318176.00	119%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	1.00	3.00	6.02	0.66	6.87	317088.00	125%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	1.00	1.00	4.46	0.47	3.98	118100.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	1.00	1.00	4.90	0.47	4.43	118092.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	2.00	1.00	7.32	0.57	6.77	376444.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	2.00	2.00	6.23	0.64	6.80	323092.00	119%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	2.00	3.00	6.19	0.63	7.40	316600.00	129%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	2.00	1.00	4.47	0.39	4.07	118108.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	2.00	1.00	4.93	0.41	4.52	118076.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	3.00	1.00	7.40	0.58	6.83	377196.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	3.00	2.00	6.24	0.59	6.88	323236.00	119%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	3.00	3.00	6.07	0.62	7.01	318672.00	125%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	3.00	1.00	4.48	0.42	4.05	118104.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	3.00	1.00	4.88	0.44	4.44	118072.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	4.00	1.00	7.38	0.64	6.75	374908.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	4.00	2.00	6.22	0.56	6.90	325920.00	120%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	4.00	3.00	6.06	0.60	6.96	316612.00	124%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	4.00	1.00	4.47	0.44	4.02	118104.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	4.00	1.00	4.91	0.45	4.46	118116.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	5.00	1.00	7.34	0.65	6.71	380328.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	5.00	2.00	6.24	0.73	6.75	320912.00	119%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	5.00	3.00	6.02	0.65	6.87	318748.00	124%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	5.00	1.00	4.47	0.43	4.03	118076.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	5.00	1.00	4.89	0.48	4.40	118076.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	6.00	1.00	7.32	0.55	6.78	375136.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	6.00	2.00	6.22	0.73	6.73	321452.00	119%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	6.00	3.00	6.16	0.58	7.23	318724.00	126%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	6.00	1.00	4.47	0.47	4.00	118096.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	6.00	1.00	4.89	0.40	4.49	118088.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	7.00	1.00	7.37	0.67	6.71	376300.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	7.00	2.00	6.25	0.56	6.91	319408.00	119%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	7.00	3.00	6.03	0.60	6.92	318892.00	124%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	7.00	1.00	4.45	0.42	4.03	118048.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	7.00	1.00	4.88	0.47	4.40	118080.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	8.00	1.00	7.32	0.58	6.76	374920.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	8.00	2.00	6.23	0.61	6.82	320756.00	119%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	8.00	3.00	6.05	0.70	6.87	318128.00	125%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	8.00	1.00	4.47	0.48	3.98	118112.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	8.00	1.00	4.88	0.45	4.43	118112.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	9.00	1.00	7.32	0.64	6.70	371968.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	9.00	2.00	6.25	0.62	6.83	322488.00	119%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	9.00	3.00	6.06	0.57	7.00	314460.00	125%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	9.00	1.00	4.47	0.44	4.02	118052.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	9.00	1.00	4.89	0.39	4.50	118076.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	10.00	1.00	7.34	0.53	6.82	375764.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	10.00	2.00	6.22	0.60	6.82	322996.00	119%
seqkit	dataset_C.fastq	fastIO	9186045.00	918604.00	612403.00	10.00	3.00	6.04	0.77	6.74	316596.00	124%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	10.00	1.00	4.46	0.41	4.04	118108.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	918604.00	918604.00	10.00	1.00	4.89	0.41	4.47	118112.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	1.00	1.00	9.24	0.82	8.44	620172.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	1.00	2.00	7.54	0.95	8.54	562904.00	126%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	1.00	3.00	7.24	0.93	8.76	560524.00	133%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	1.00	1.00	5.61	0.70	4.91	317808.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	1.00	1.00	6.03	0.72	5.31	317796.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	2.00	1.00	9.28	0.80	8.49	612100.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	2.00	2.00	7.53	0.89	8.52	564256.00	125%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	2.00	3.00	7.28	0.92	8.87	565080.00	134%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	2.00	1.00	5.58	0.65	4.93	317860.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	2.00	1.00	6.02	0.77	5.24	317796.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	3.00	1.00	9.23	0.84	8.40	640100.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	3.00	2.00	7.57	0.91	8.62	562832.00	125%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	3.00	3.00	7.28	0.99	8.79	565700.00	134%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	3.00	1.00	5.60	0.74	4.85	317780.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	3.00	1.00	6.07	0.78	5.29	317796.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	4.00	1.00	9.33	0.82	8.52	612380.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	4.00	2.00	7.52	1.00	8.44	558876.00	125%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	4.00	3.00	7.22	0.99	8.68	556864.00	133%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	4.00	1.00	5.59	0.69	4.89	317832.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	4.00	1.00	6.03	0.64	5.38	317828.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	5.00	1.00	9.22	0.87	8.37	635308.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	5.00	2.00	7.53	0.94	8.47	567536.00	125%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	5.00	3.00	7.31	1.04	8.81	568908.00	134%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	5.00	1.00	5.61	0.72	4.89	317856.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	5.00	1.00	6.03	0.63	5.40	317824.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	6.00	1.00	9.30	0.73	8.58	625292.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	6.00	2.00	7.57	0.95	8.50	564876.00	124%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	6.00	3.00	7.20	0.99	8.67	550608.00	134%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	6.00	1.00	5.59	0.73	4.86	317836.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	6.00	1.00	6.04	0.77	5.27	317796.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	7.00	1.00	9.25	0.89	8.37	637732.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	7.00	2.00	7.54	0.96	8.53	552892.00	125%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	7.00	3.00	7.25	0.89	8.85	564160.00	134%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	7.00	1.00	5.71	0.71	5.00	317856.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	7.00	1.00	6.03	0.70	5.33	317800.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	8.00	1.00	9.27	0.94	8.34	621172.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	8.00	2.00	7.53	0.92	8.51	568836.00	125%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	8.00	3.00	7.23	0.96	8.70	567868.00	133%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	8.00	1.00	5.58	0.66	4.92	317860.00	100%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	8.00	1.00	6.04	0.70	5.34	317928.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	9.00	1.00	9.31	0.85	8.48	639196.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	9.00	2.00	7.53	0.93	8.52	564480.00	125%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	9.00	3.00	7.29	0.95	8.87	556348.00	134%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	9.00	1.00	5.59	0.75	4.83	317920.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	9.00	1.00	6.01	0.66	5.35	317860.00	99%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	10.00	1.00	9.41	0.96	8.47	627176.00	100%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	10.00	2.00	7.52	0.95	8.46	563952.00	125%
seqkit	dataset_C.fastq	fastIO	9186045.00	2296511.00	1531008.00	10.00	3.00	7.23	0.92	8.71	562060.00	133%
fqGetIds	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	10.00	1.00	5.60	0.75	4.85	317920.00	99%
fqGetIdsMem	dataset_C.fastq	fastIO	9186045.00	2296511.00	2296511.00	10.00	1.00	6.05	0.70	5.34	317792.00	100%
